Name,Number
Germany,310
Poland,281
France,246
Russian Empire,46
United States of America,1004
India,73
British Raj,13
United Kingdom,210
United Kingdom of Great Britain and Ireland,43
Japan,47
Sweden,76
Hungary,49
Israel,77
Russia,111
Soviet Union,191
Canada,111
Australia,63
Belgium,23
Greece,19
Ireland,19
South Africa,18
People's Republic of China,79
Spain,207
Brazil,63
German Democratic Republic,17
Austria,71
Switzerland,40
Mexico,40
Romania,19
Kingdom of the Netherlands,53
Denmark,22
Italy,63
Kingdom of Italy,14
Slovenia,99
Socialist Federal Republic of Yugoslavia,100
Kingdom of Yugoslavia,18
Czechoslovakia,15
Iran,15
Finland,61
Ukraine,30
Kazakhstan,22
Norway,65
Estonia,45
Czech Republic,22
Venezuela,15
New Zealand,27
Argentina,87
Colombia,27
Chile,13
Portugal,13
Azerbaijan,10
Bulgaria,16
Armenia,17
Latvia,12
Uruguay,15
Republic of China (1912–1949),27
